**Instructions**: Fill in this table with 3-5 findings from your pilots. Link each finding to data sources.

| Finding                 | Data Source                         | Observation (Quote/Timestamp) | WCAG          | Impact (1-5) | Inclusion (1-5) | Effort (1-5) | Priority |
|--------                 |-------------                        |------------------------------ |------         |--------------|-----------------|--------------|----------|
| SR errors not announced | metrics.csv L47-49 + P2 notes 14:23 | P2: "I didn't hear any error" | 3.3.1 Level A | 5            | 5               | 3            | 7        |
| [Your finding 2]        | [metrics.csv line OR pilot notes]   |[Participant quote + timestamp]|[WCAG criterion| [1-5]        | [1-5]           | [1-5]        | [Score] |
| [Your finding 3]        | [metrics.csv line OR pilot notes]   |[Participant quote + timestamp]|[WCAG criterion| [1-5]        | [1-5]           | [1-5]        | [Score] |
| [Your finding 4]        | [metrics.csv line OR pilot notes]   |[Participant quote + timestamp]|[WCAG criterion| [1-5]        | [1-5]           | [1-5]        | [Score] |
| [Your finding 5]        | [metrics.csv line OR pilot notes]   |[Participant quote + timestamp]|[WCAG criterion| [1-5]        | [1-5]           | [1-5]        | [Score] |

**Priority formula**: (Impact + Inclusion) - Effort

**Top 3 priorities for redesign**:
1. [Finding #X - Priority score Y]
2. [Finding #X - Priority score Y]
3. [Finding #X - Priority score Y]

---
